	hand	hold	probability	category
0	[1, 1, 1, 1, 1]	()	0.3958333333333333	0.0
1	[1, 1, 1, 1, 1]	(0, 1, 2, 3, 4)	1.0	1.0
2	[1, 1, 1, 1, 1]	(0, 1, 2, 3, 4)	1.0	2.0
3	[1, 1, 1, 1, 1]	(0,)	0.018518518518518517	3.0
4	[1, 1, 1, 1, 1]	()	0.015432098765432098	4.0
5	[1, 1, 1, 1, 1]	(0, 1, 2, 3)	1.0	5.0
6	[1, 1, 1, 1, 1]	(0, 1, 2, 3, 4)	1.0	6.0
7	[1, 1, 1, 1, 1]	()	0.0001286008230452675	7.0
8	[1, 1, 1, 1, 1]	()	0.0001286008230452675	8.0
9	[1, 1, 1, 1, 1]	()	0.0001286008230452675	9.0
10	[1, 1, 1, 1, 1]	()	0.0001286008230452675	10.0
11	[1, 1, 1, 1, 1]	()	0.0001286008230452675	11.0
12	[1, 1, 1, 1, 1]	(0, 1)	1.0	12.0
13	[1, 1, 1, 1, 1]	(0, 1, 2)	1.0	13.0
14	[1, 1, 1, 1, 1]	(0, 1, 2, 3)	1.0	14.0
15	[2, 1, 1, 1, 1]	()	0.3958333333333333	0.0
16	[2, 1, 1, 1, 1]	(1, 2, 3, 4)	0.16666666666666666	1.0
17	[2, 1, 1, 1, 1]	(1, 2, 3)	0.16666666666666666	2.0
18	[2, 1, 1, 1, 1]	(0, 1)	0.027777777777777776	3.0
19	[2, 1, 1, 1, 1]	(0,)	0.018518518518518517	4.0
20	[2, 1, 1, 1, 1]	(1, 2, 3, 4)	1.0	5.0
21	[2, 1, 1, 1, 1]	(1, 2, 3, 4)	0.16666666666666666	6.0
22	[2, 1, 1, 1, 1]	(0,)	0.0007716049382716049	7.0
23	[2, 1, 1, 1, 1]	()	0.0001286008230452675	8.0
24	[2, 1, 1, 1, 1]	()	0.0001286008230452675	9.0
25	[2, 1, 1, 1, 1]	()	0.0001286008230452675	10.0
26	[2, 1, 1, 1, 1]	()	0.0001286008230452675	11.0
27	[2, 1, 1, 1, 1]	(1, 2)	1.0	12.0
28	[2, 1, 1, 1, 1]	(1, 2, 3)	1.0	13.0
29	[2, 1, 1, 1, 1]	(1, 2, 3, 4)	1.0	14.0
30	[3, 1, 1, 1, 1]	()	0.3958333333333333	0.0
31	[3, 1, 1, 1, 1]	(1, 2, 3, 4)	0.16666666666666666	1.0
32	[3, 1, 1, 1, 1]	(1, 2, 3)	0.16666666666666666	2.0
33	[3, 1, 1, 1, 1]	(0, 1)	0.027777777777777776	3.0
34	[3, 1, 1, 1, 1]	(0,)	0.018518518518518517	4.0
35	[3, 1, 1, 1, 1]	(1, 2, 3, 4)	1.0	5.0
36	[3, 1, 1, 1, 1]	(1, 2, 3, 4)	0.16666666666666666	6.0
